feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
baseline_full,0.8,18,722,181,ensemble,0.8887938408896492,0.7142222468480043,,,0.5,0.22,0.13
baseline_full,0.8,19,722,181,logreg,0.7258340461933276,0.4292992015496465,,,0.25,0.16,0.1
baseline_full,0.8,19,722,181,rf,0.823994867408041,0.6533271750035854,,,0.45,0.22,0.11
baseline_full,0.8,19,722,181,xgb,0.8340461933276304,0.7128554663590954,,,0.5,0.2,0.12
baseline_full,0.8,19,722,181,ensemble,0.8259195893926432,0.6848690786346513,,,0.45,0.2,0.11
baseline_full,0.8,20,722,181,logreg,0.6775021385799829,0.328558814304729,,,0.3,0.18,0.09
baseline_full,0.8,20,722,181,rf,0.7709580838323353,0.5450019542162419,,,0.35,0.18,0.11
baseline_full,0.8,20,722,181,xgb,0.724978614200171,0.48712460623330506,,,0.35,0.18,0.11
baseline_full,0.8,20,722,181,ensemble,0.7292557741659539,0.5202258024535047,,,0.35,0.2,0.11
baseline_full,0.9,1,812,91,logreg,0.7244897959183674,0.4033724420942466,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,1,812,91,rf,0.7653061224489796,0.5156167561827939,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,1,812,91,xgb,0.6836734693877551,0.5012241247941162,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,1,812,91,ensemble,0.7210884353741498,0.5538492667488101,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,2,812,91,logreg,0.7346938775510203,0.5264837433826981,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,2,812,91,rf,0.7687074829931972,0.697859631657541,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,2,812,91,xgb,0.7363945578231292,0.6047002120686331,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,2,812,91,ensemble,0.760204081632653,0.6567323481116585,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,3,812,91,logreg,0.7976190476190477,0.296261771739148,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,3,812,91,rf,0.8452380952380952,0.6062263562263562,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,3,812,91,xgb,0.7159863945578231,0.5012073745609713,,,0.15,0.12,0.07692307692307693
baseline_full,0.9,3,812,91,ensemble,0.8129251700680272,0.5427028218694885,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,4,812,91,logreg,0.7857142857142857,0.3180665950590762,,,0.15,0.14,0.07692307692307693
baseline_full,0.9,4,812,91,rf,0.836734693877551,0.263568010936432,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,4,812,91,xgb,0.6445578231292517,0.1683522826379969,,,0.15,0.1,0.07692307692307693
baseline_full,0.9,4,812,91,ensemble,0.8078231292517006,0.306547619047619,,,0.2,0.14,0.07692307692307693
baseline_full,0.9,5,812,91,logreg,0.6564625850340136,0.21751749298919107,,,0.15,0.08,0.07692307692307693
baseline_full,0.9,5,812,91,rf,0.7423469387755102,0.39845721147317187,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,5,812,91,xgb,0.7295918367346939,0.3068096935743994,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,5,812,91,ensemble,0.7074829931972788,0.3915868069386193,,,0.2,0.08,0.07692307692307693
baseline_full,0.9,6,812,91,logreg,0.6207482993197277,0.3868954026644779,,,0.2,0.08,0.07692307692307693
baseline_full,0.9,6,812,91,rf,0.6887755102040816,0.3660172064777328,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,6,812,91,xgb,0.6411564625850341,0.3996339387757276,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,6,812,91,ensemble,0.6377551020408163,0.4272650146195571,,,0.2,0.08,0.07692307692307693
baseline_full,0.9,7,812,91,logreg,0.8095238095238094,0.33491592063020637,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,7,812,91,rf,0.754251700680272,0.453139920691859,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,7,812,91,xgb,0.7091836734693877,0.4445566526115819,,,0.2,0.1,0.07692307692307693
baseline_full,0.9,7,812,91,ensemble,0.8061224489795918,0.4725125822686798,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,8,812,91,logreg,0.9387755102040817,0.5066326530612245,,,0.35,0.14,0.07692307692307693
baseline_full,0.9,8,812,91,rf,0.9897959183673469,0.9123376623376622,,,0.35,0.14,0.07692307692307693
baseline_full,0.9,8,812,91,xgb,0.9540816326530612,0.7794034536891681,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,8,812,91,ensemble,0.977891156462585,0.868347338935574,,,0.35,0.14,0.07692307692307693
baseline_full,0.9,9,812,91,logreg,0.6666666666666667,0.28042115888359764,,,0.15,0.1,0.07692307692307693
baseline_full,0.9,9,812,91,rf,0.8605442176870749,0.38448218448218446,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,9,812,91,xgb,0.8129251700680271,0.3707661743376029,,,0.2,0.14,0.07692307692307693
baseline_full,0.9,9,812,91,ensemble,0.7670068027210883,0.3225110497184461,,,0.2,0.14,0.07692307692307693
baseline_full,0.9,10,812,91,logreg,0.8758503401360543,0.5568568336425479,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,10,812,91,rf,0.7840136054421769,0.4420040743570155,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,10,812,91,xgb,0.8129251700680271,0.47721008024959394,,,0.2,0.14,0.07692307692307693
baseline_full,0.9,10,812,91,ensemble,0.8877551020408163,0.5315150093475216,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,11,812,91,logreg,0.7193877551020408,0.5081349733248468,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,11,812,91,rf,0.7721088435374149,0.6040322660268751,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,11,812,91,xgb,0.8605442176870748,0.5860248447204969,,,0.25,0.14,0.07692307692307693
